"session_date","session_day","time_block","duration_minutes","room","session_kind","plenum_kind","session_type","tracks","recording_status","title","speakers","speaker_org_titles","description_clean","status","liveUrl","recordingUrl","session_id"
2026-06-18,"Thursday","01:00 PM - 01:45 PM",45,"National Harbor 6","Service / break","Concurrent","","","","Adjacent Event: Snack Break - Explore AI Accountability Investigations with the Pulitzer Center","","","What are the ways AI may intersect with your reporting, whether it be algorithmic influence on government decisions, environmental impact, or simply lots of hype around time and cost savings? How might the Pulitzer Center’s training and funding opportunities support your dream reporting project connected to the accountability of AI systems and companies? Join Pulitzer Center’s Executive Editor Marina Walker Guevara and Steve Sapienza, Senior Editor, U.S. News Partnerships for networking and a casual discussion exploring these questions. Coffee and light snacks will be provided!",NA,NA,NA,"c3c8e834-a5e5-4416-9930-102bed89c80c"
2026-06-18,"Thursday","02:00 PM - 05:00 PM",180,"National Harbor 7","Service / break","Concurrent","","","","IRE Board Meeting","","","Open to all IRE members.",NA,NA,NA,"54d6ce33-2183-4b00-813f-877522d80bbd"
2026-06-18,"Thursday","02:30 PM - 03:30 PM",60,"Chesapeake JKL","Content","Concurrent","Hands-on training","Press freedom","This session *will not* be recorded ⛔️","Navigating risk: Practical safety for journalists reporting in the U.S.","Jennifer Nelson; Katherine Jacobsen; Ximena Natera","Committee to Protect Journalists | Freelance visual journalist  | Reporters Committee for Freedom of the Press","Reporting in the field increasingly exposes journalists to complex safety challenges—from covering protests to navigating surveillance technologies and law enforcement encounters in cities like Los Angeles, Chicago, Minneapolis, and beyond. Recent conversations among journalists have underscored urgent concerns, including how to safely navigate interactions with ICE and how to distinguish between different law enforcement agencies on the ground. Join the International Women’s Media Foundation (IWMF) and the Journalist Assistance Network for a practical session focused on assessing and managing these risks. Safety experts will share strategies for mitigating on-the-ground threats, along with practical guidance for covering protests and high-risk situations. Attendees will leave with concrete, actionable tools to help them report safely in volatile environments—so they can document critical stories without compromising their personal security.","Accepted",NA,NA,"1181919"
2026-06-18,"Thursday","02:30 PM - 03:30 PM",60,"Maryland 1-2","Content","Concurrent","Hands-on training","","This session *will not* be recorded ⛔️","Get that TPS report (with cover sheet): Easy, no-code AI document finders","David Cuillier; Mitchell Kotler","Brechner FOI Project, University of Florida | MuckRock, CTO","This hands-on training session shows how easy it is to use AI to find specific documents relevant to your investigation without needing programming skills, money or sign-on accounts. You will find and download a public records request log (or bring your own as Excel/PDF files - requested ahead of time from your local agency) and run it through NotebookLM, comparing results to a Google search. We will also demonstrate other useful document finder tools, including the fed’s FOIA Wizard, MuckRock’s FOIA Explorer, FOIAengine (free to IRE members), and new state-level tools being developed by MuckRock. Attendees will need to bring their own laptops (preferably no tablets) for the training.","Accepted",NA,NA,"1181868"
2026-06-18,"Thursday","02:30 PM - 03:30 PM",60,"Maryland 5-6","Content","Concurrent","Hands-on training","Data analysis; Tools & tech","This session *will not* be recorded ⛔️","Google Sheets 1: Getting started with spreadsheets","Holly Hacker","KFF Health News","In this introduction to spreadsheets, you'll begin analyzing data with Google Sheets, a simple but powerful tool. You'll learn how to enter data, navigate spreadsheets and conduct simple calculations like sum, average and median. This session is good for: Data beginners. You must bring your own laptop (no tablets) to participate in this class, and you will need a free Google account to participate.","Accepted",NA,NA,"1234199"
2026-06-18,"Thursday","02:30 PM - 03:30 PM",60,"Maryland A","Content","Concurrent","Panel","Video","This session *will* be recorded ✅","Crafting impactful digital video investigations","Courtney Kan; Jarrett Ley; Mark Scheffler","Former Senior Editor for Visuals, The Washington Post | Head of Visual Investigations | New York Times | Visual Forensics Reporter, The Washington Post","In this session, reporters and editors will share how they’re incorporating video and visual evidence into investigations for newspapers (not broadcast). Learn how they use bystander video, satellite imagery and other open-source material in a variety of digital formats to drive accountability reporting — and how they guide these productions across a large cross-functional newsroom.","Accepted",NA,NA,"1239678"
2026-06-18,"Thursday","02:30 PM - 03:30 PM",60,"Maryland B","Content","Concurrent","Panel","","This session *will not* be recorded ⛔️","The latest intel on big tech and AI threats, and tools to expose them","Andrea Arzaba; Craig Silverman; Lam Thuy Vo","Associate Professor & Investigative Reporter, CUNY & Documented | GIJN | Indicator","GIJN recently produced best-practices stories, videos, a report, and a webinar for its Tech Focus Project based on the knowledge and exchange of ideas of 100 experts in the field. This session will distill the highlights: tools for detecting AI-generated content; experimenting with AI tools; cutting-edge tips to protect from surveillance; tools to investigate government use of AI, and techniques for radical collaboration to counter Big Tech’s assault on the info ecosystem. Andrea Arzaba (GIJN), Craig Silverman (Indicator), Lam Thuy Vo (Documented/CUNY/Pulitzer Center), and Marina Walker Guevara (Pulitzer Center) will share tips and experiences around investigating Tech and using Tech for investigations.","Accepted",NA,NA,"1238677"
2026-06-18,"Thursday","02:30 PM - 03:30 PM",60,"National Harbor 10","Content","Concurrent","Panel","","This session *will* be recorded ✅","Data deluge: The education beat awaits your investigation","Aliyya Swaby; Beth Hawkins; Marta Jewson","Independent Journalist at lamplighter.news | ProPublica reporter | The 74 Million","Education is more than test scores, spelling bees and principal appointments. One of the largest line items in state budgets, the education beat has a trove of data at the local, state and federal level — from suspension and seclusion rates, demographic data and funding disparities, to civil rights challenges and special education settlements with NDAs. There is a story in your school district — you just have to find it. Education stories are easily accessible if you know the tools.","Accepted",NA,NA,"1190216"
2026-06-18,"Thursday","02:30 PM - 03:30 PM",60,"National Harbor 11","Content","Concurrent","Panel","Beat reporting; Business; Story ideas","This session *will* be recorded ✅","Concentrated power: the growing corporate takeover","Arlene Martinez; Evan Simon; Mike Morris","Good Jobs First | Houston Chronicle","Companies are getting bigger, more consolidated, and increasingly powerful, instrumental in changing policies impacting every aspect of our lives. During this panel, learn how to probe more deeply into corporate actions and relevant relationships, learn about dark money-backed plans at the state level for 2026 and beyond, and walk away with new tools to better investigate company behavior, even on deadline.","Accepted",NA,NA,"1182114"
2026-06-18,"Thursday","02:30 PM - 03:30 PM",60,"National Harbor 12-13","Content","Concurrent","Hands-on training","","","Video show & tell: Anything goes with Laura Geller and Matt Goldberg","Laura Geller; Matt Goldberg","CBS News Investigative Unit | VP & News Director, CBS LA","Sign up to “Show & Tell” us about your best work and get constructive feedback from the moderator and audience. Sign-ups are required for presenters. Each presenter will have 15 minutes to share their work and receive feedback. All are welcome to attend! Sign up here: https://www.signupgenius.com/go/10C084CA8AC29A4FBCE9-64417636-video *These sessions will not be recorded.","Accepted",NA,NA,"1243430"
2026-06-18,"Thursday","02:30 PM - 03:30 PM",60,"National Harbor 2","Content","Concurrent","Panel","Audio/radio","This session *will* be recorded ✅","Deep dive: Two podcasters talk about telling the unforgettable story","Dan Taberski; Julie Snyder","Independent journalist | Serial Productions","Julie Snyder and Dan Taberski are two of the country’s best-known podcasters. Snyder co-founded Serial, and Serial invented a form, launching the narrative podcast boom. Serial hit the country like a thunderclap. Taberski has made so many poignant , mind-bending podcasts (“Missing Richard Simmons,” “The Line,” “9/12,” “Hysterical”) that The New Yorker has turned his name into an adjective: “Taberskian.” They’ll talk about how to tell a story that no one will forget.","Accepted",NA,NA,"1216885"
2026-06-18,"Thursday","02:30 PM - 03:30 PM",60,"National Harbor 3","Content","Concurrent","Panel","","This session *will* be recorded ✅","Everything you want to know about tracking political influence and money in politics","Anna Massoglia; Robert Maguire; Soorin Kim","Citizens for Responsibility and Ethics in Washington (CREW) | MuckRock, Editor | White House producer at MS NOW","From dark money networks and corporate influence campaigns to billionaire mega-donors and grassroots fundraising, money in politics touches almost every beat. Panelists with decades of combined experience tracking campaign finances, nonprofit spending and political influence walk through how they actually find the information that drives these stories. Journalists will learn how to piece together opaque spending networks and uncover crucial details about operations through tax returns, digital ad data, corporate records, lobbying disclosures and other sources.","Accepted",NA,NA,"1182168"
2026-06-18,"Thursday","02:30 PM - 03:30 PM",60,"National Harbor 4-5","Content","Concurrent","Panel","Research; Story ideas","This session *will* be recorded ✅","Backgrounding people in an hour","Michael Biesecker","Global Investigative Reporter, The Associated Press","Whether covering a mass shooting or a political scandal, reporters need to know how to thoroughly and quickly background people and companies involved in breaking news events and long-term investigations. In this panel, journalists will share concrete tips on how to mine social media accounts, maximize Nexis searches, unearth public records, find friends and relatives and turn hunches into distinctive stories.","Accepted",NA,NA,"1173026"
2026-06-18,"Thursday","02:30 PM - 06:00 PM",210,"Chesapeake GHI","Content","Concurrent","","","This session *will not* be recorded ⛔️","Outlining and structure: The writer's missing manual","Matt Apuzzo","New York Times","Outlining might be the single best thing you can do to make you a better, faster writer. This isn't the roman numeral outlining your middle school teacher taught you. We'll take a story from the ground up, showing how early considerations about structure and framing develop into a draft. Preregistration is required and seating is limited.","Accepted",NA,NA,"1217848"
2026-06-18,"Thursday","03:30 PM - 03:45 PM",15,"Conference-wide","Service / break","Plenary","","","","15 min break","","","",NA,NA,NA,"5ad874a7-3a9e-4b45-96c9-b7f326b25405"
2026-06-18,"Thursday","03:45 PM - 04:45 PM",60,"Chesapeake JKL","Content","Concurrent","","","This session *will not* be recorded ⛔️","Networking: Educators","","","Mix and mingle with peers from throughout the world to find solidarity, make new friends, and build your professional community in this fun and informal networking session. This session is for those who teach journalism.","Accepted",NA,NA,"1237906"
2026-06-18,"Thursday","03:45 PM - 04:45 PM",60,"Maryland 1-2","Content","Concurrent","Hands-on training","","This session *will not* be recorded ⛔️","No code, open data: Using immigration data without coding","Aline Behar Kado","University of Maryland","Don’t know coding? No fear, this session will teach attendees how they can use data from the Deportation Data Project without any coding. Using Google Sheets, attendees will learn how they can perform analysis on publicly available immigration data. The session will demystify key fields in the data, provide practical definitions and identify pitfalls to avoid. Reporters will gain the foundation to find stories related to their communities in this trove of data. Attendees will need to bring their own laptops (preferably no tablets) for the training.","Accepted",NA,NA,"1190107"
